Load environment configuration
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
127.0.0.1 - - [18/Apr/2023:23:23:53 +0000] "GET /rts-api/v1/health-check HTTP/1.1" 200 16 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:25:09 +0000] "GET /rts/?EIO=4&transport=websocket HTTP/1.1" 101 231 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:09 +0000] "GET / HTTP/1.1" 304 0 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:10 +0000] "GET /api/v1/tenants/current HTTP/1.1" 200 166 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:10 +0000] "GET /api/v1/users/features HTTP/1.1" 200 254 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:10 +0000] "GET /api/v1/users/me HTTP/1.1" 200 290 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:10 +0000] "GET /api/v1/applications/new HTTP/1.1" 200 1460 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:11 +0000] "GET /api/v1/applications/releaseItems HTTP/1.1" 200 13454 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:12 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:12 +0000] "POST /api/v1/usage-pulse HTTP/1.1" 201 76 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:12 +0000] "GET /api/v1/pages?pageId=643ebc2d180a343b7261003e&mode=EDIT HTTP/1.1" 200 776 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:12 +0000] "GET /api/v1/libraries/643ebc26180a343b72610033 HTTP/1.1" 200 101 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/themes/applications/643ebc26180a343b72610033/current?mode=EDIT HTTP/1.1" 200 1443 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/collections/actions?applicationId=643ebc26180a343b72610033 HTTP/1.1" 200 101 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003e HTTP/1.1" 200 2407 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/themes/applications/643ebc26180a343b72610033 HTTP/1.1" 200 4657 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/workspaces/643ebbc9180a343b72610026/members HTTP/1.1" 200 211 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/actions?applicationId=643ebc26180a343b72610033 HTTP/1.1" 200 2046 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/datasources?workspaceId=643ebbc9180a343b72610026 HTTP/1.1" 200 101 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003e HTTP/1.1" 200 2407 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003d HTTP/1.1" 200 7343 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003c HTTP/1.1" 200 7550 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/plugins?workspaceId=643ebbc9180a343b72610026 HTTP/1.1" 200 23693 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003b HTTP/1.1" 200 6382 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003f HTTP/1.1" 200 6922 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/datasources/mocks HTTP/1.1" 200 202 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b72610040 HTTP/1.1" 200 5839 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/pages/643ebc2d180a343b72610041 HTTP/1.1" 200 7148 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/plugins/643ebba8180a343b72610002/form HTTP/1.1" 200 1033 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:13 +0000] "GET /api/v1/plugins/643ebbae180a343b72610023/form HTTP/1.1" 200 1956 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:14 +0000] "GET /api/v1/plugins/default/icons HTTP/1.1" 200 761 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:14 +0000] "GET /api/v1/app-templates/filters HTTP/1.1" 200 958 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:14 +0000] "GET /api/v1/workspaces/643ebbc9180a343b72610026 HTTP/1.1" 200 521 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:25:20 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:25:20 +0000] "GET /api/v1/git/status/app/643ebc26180a343b72610033?branchName=master HTTP/1.1" 200 301 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:20 +0000] "GET /api/v1/git/branch/app/643ebc26180a343b72610033? HTTP/1.1" 200 158 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:25 +0000] "GET /api/v1/git/pull/app/643ebc26180a343b72610033 HTTP/1.1" 400 547 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:31 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003d HTTP/1.1" 200 7343 "http://localhost:8080/app/healthheroappsmith/doctor-page-1-643ebc2d180a343b7261003d/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:34 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003e HTTP/1.1" 200 2407 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:25:36 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:25:37 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003f HTTP/1.1" 200 6922 "http://localhost:8080/app/healthheroappsmith/patient-page-1-643ebc2d180a343b7261003f/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:38 +0000] "POST /api/v1/actions/execute HTTP/1.1" 200 3377 "http://localhost:8080/app/healthheroappsmith/patient-page-1-643ebc2d180a343b7261003f/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:41 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003e HTTP/1.1" 200 2407 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:44 +0000] "GET /api/v1/pages/643ebc2d180a343b72610040 HTTP/1.1" 200 5839 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-1-643ebc2d180a343b72610040/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:25:51 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:25:52 +0000] "PUT /api/v1/layouts/643ee9cf180a343b72610073/pages/643ebc2d180a343b72610040?applicationId=643ebc26180a343b72610033 HTTP/1.1" 200 5664 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-1-643ebc2d180a343b72610040/edit/widgets/t45v6yadgj?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:25:54 +0000] "GET /api/v1/pages/643ebc2d180a343b72610041 HTTP/1.1" 200 7148 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:26:01 +0000] "GET /api/v1/git/status/app/643ebc26180a343b72610033?branchName=master HTTP/1.1" 200 334 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:26:06 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:26:15 +0000] "POST /api/v1/git/commit/app/643ebc26180a343b72610033?branchName=master HTTP/1.1" 400 640 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:26:17 +0000] "GET /api/v1/git/status/app/643ebc26180a343b72610033?branchName=master HTTP/1.1" 200 301 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:26:21 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:26:30 +0000] "GET /api/v1/git/status/app/643ebc26180a343b72610033?branchName=master HTTP/1.1" 200 301 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:26:30 +0000] "GET /api/v1/git/branch/app/643ebc26180a343b72610033? HTTP/1.1" 200 158 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:26:37 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:26:43 +0000] "GET /api/v1/git/profile/default HTTP/1.1" 200 144 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:26:43 +0000] "GET /api/v1/git/profile/app/643ebc26180a343b72610033 HTTP/1.1" 200 134 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:26:43 +0000] "GET /api/v1/applications/ssh-keypair/643ebc26180a343b72610033 HTTP/1.1" 200 415 "http://localhost:8080/app/healthheroappsmith/pharmacist-page-2-643ebc2d180a343b72610041/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:23:26:52 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.19.0.1 - - [18/Apr/2023:23:26:58 +0000] "GET /api/v1/applications/new HTTP/1.1" 200 1460 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.19.0.1 - - [18/Apr/2023:23:26:58 +0000] "GET /api/v1/applications/releaseItems HTTP/1.1" 200 13454 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
