Load environment configuration
mkdir: created directory '/appsmith-stacks/data/certificate'
mkdir: created directory '/appsmith-stacks/data/certificate/conf'
'/opt/appsmith/editor/index.html' -> '/opt/appsmith/index.html.original'
127.0.0.1 - - [18/Apr/2023:15:47:37 +0000] "GET /rts-api/v1/health-check HTTP/1.1" 200 16 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:48:27 +0000] "GET /api/v1/tenants/current HTTP/1.1" 200 166 "http://localhost:8080/signup-success?redirectUrl=http%3A%2F%2Flocalhost%3A8080%2Fapplications%2F643ebbca180a343b7261002a%2Fpages%2F643ebbca180a343b7261002d%2Fedit&enableFirstTimeUserExperience=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:27 +0000] "GET /api/v1/users/me HTTP/1.1" 200 289 "http://localhost:8080/signup-success?redirectUrl=http%3A%2F%2Flocalhost%3A8080%2Fapplications%2F643ebbca180a343b7261002a%2Fpages%2F643ebbca180a343b7261002d%2Fedit&enableFirstTimeUserExperience=true" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "POST /api/v1/usage-pulse HTTP/1.1" 201 76 "http://localhost:8080/app/application/page-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/pages?pageId=643ebbca180a343b7261002d&mode=EDIT HTTP/1.1" 200 469 "http://localhost:8080/app/application/page-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/collections/actions?applicationId=643ebbca180a343b7261002a HTTP/1.1" 200 101 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/libraries/643ebbca180a343b7261002a HTTP/1.1" 200 101 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/themes/applications/643ebbca180a343b7261002a/current?mode=EDIT HTTP/1.1" 200 1443 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/pages/643ebbca180a343b7261002d HTTP/1.1" 200 496 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/actions?applicationId=643ebbca180a343b7261002a HTTP/1.1" 200 101 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/themes/applications/643ebbca180a343b7261002a HTTP/1.1" 200 4657 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/workspaces/643ebbc9180a343b72610026/members HTTP/1.1" 200 211 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/datasources?workspaceId=643ebbc9180a343b72610026 HTTP/1.1" 200 101 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/pages/643ebbca180a343b7261002d HTTP/1.1" 200 496 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/datasources/mocks HTTP/1.1" 200 202 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:28 +0000] "GET /api/v1/plugins?workspaceId=643ebbc9180a343b72610026 HTTP/1.1" 200 2147 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:29 +0000] "GET /api/v1/plugins/643ebba8180a343b72610002/form HTTP/1.1" 200 1033 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:29 +0000] "GET /api/v1/plugins/643ebbae180a343b72610023/form HTTP/1.1" 200 1956 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:29 +0000] "GET /api/v1/workspaces/643ebbc9180a343b72610026 HTTP/1.1" 200 493 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:29 +0000] "GET /api/v1/plugins/default/icons HTTP/1.1" 200 689 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:29 +0000] "GET /api/v1/app-templates/filters HTTP/1.1" 200 970 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:29 +0000] "GET /api/v1/applications/new HTTP/1.1" 200 1061 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:29 +0000] "PUT /api/v1/layouts/643ebbca180a343b7261002b/pages/643ebbca180a343b7261002d?applicationId=643ebbca180a343b7261002a HTTP/1.1" 200 403 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:48:30 +0000] "GET /api/v1/applications/releaseItems HTTP/1.1" 200 13454 "http://localhost:8080/app/my-first-application/page1-643ebbca180a343b7261002d/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:15:48:30 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:48:31 +0000] "GET /pageService.js HTTP/1.1" 304 0 "http://localhost:8080/pageService.js" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:15:48:45 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
127.0.0.1 - - [18/Apr/2023:15:49:00 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:49:14 +0000] "GET /api/v1/applications/new HTTP/1.1" 200 1095 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:49:14 +0000] "GET /api/v1/applications/releaseItems HTTP/1.1" 200 13454 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:15:49:16 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:49:18 +0000] "GET /api/v1/git/profile/default HTTP/1.1" 200 144 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:49:18 +0000] "GET /api/v1/git/profile/app/ HTTP/1.1" 404 124 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:49:21 +0000] "GET /api/v1/git/import/keys?keyType=ECDSA HTTP/1.1" 200 343 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
127.0.0.1 - - [18/Apr/2023:15:49:31 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
127.0.0.1 - - [18/Apr/2023:15:49:47 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
127.0.0.1 - - [18/Apr/2023:15:50:02 +0000] "GET / HTTP/1.1" 200 4263 "-" "curl/7.68.0"
172.18.0.1 - - [18/Apr/2023:15:50:06 +0000] "POST /api/v1/git/import/643ebbc9180a343b72610026 HTTP/1.1" 200 656 "http://localhost:8080/applications" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:06 +0000] "GET /api/v1/git/profile/default HTTP/1.1" 200 144 "http://localhost:8080/app/application/page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:06 +0000] "GET /api/v1/git/profile/app/ HTTP/1.1" 404 124 "http://localhost:8080/app/application/page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:06 +0000] "GET /api/v1/workspaces/643ebbc9180a343b72610026/members HTTP/1.1" 200 211 "http://localhost:8080/app/application/page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:06 +0000] "GET /api/v1/pages?pageId=643ebc2d180a343b7261003e&mode=EDIT HTTP/1.1" 200 751 "http://localhost:8080/app/application/page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/libraries/643ebc26180a343b72610033 HTTP/1.1" 200 101 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/themes/applications/643ebc26180a343b72610033/current?mode=EDIT HTTP/1.1" 200 1443 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/collections/actions?applicationId=643ebc26180a343b72610033 HTTP/1.1" 200 101 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003e HTTP/1.1" 200 2402 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/themes/applications/643ebc26180a343b72610033 HTTP/1.1" 200 4657 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/actions?applicationId=643ebc26180a343b72610033 HTTP/1.1" 200 1425 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/datasources/mocks HTTP/1.1" 200 202 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/datasources?workspaceId=643ebbc9180a343b72610026 HTTP/1.1" 200 101 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003e HTTP/1.1" 200 2402 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003d HTTP/1.1" 200 6239 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003c HTTP/1.1" 200 7687 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003f HTTP/1.1" 200 6895 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b7261003b HTTP/1.1" 200 5687 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b72610040 HTTP/1.1" 200 1905 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/plugins?workspaceId=643ebbc9180a343b72610026 HTTP/1.1" 200 23693 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/pages/643ebc2d180a343b72610041 HTTP/1.1" 200 1947 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/plugins/643ebba8180a343b72610002/form HTTP/1.1" 200 1033 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:07 +0000] "GET /api/v1/plugins/643ebbae180a343b72610023/form HTTP/1.1" 200 1956 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
172.18.0.1 - - [18/Apr/2023:15:50:08 +0000] "GET /api/v1/workspaces/643ebbc9180a343b72610026 HTTP/1.1" 200 521 "http://localhost:8080/app/healthheroappsmith/welcome-page-643ebc2d180a343b7261003e/edit?branch=master" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36"
